agent,n_episodes,P,M,D,share_exhaustion,D_all,scenario,M_per_product,D_per_product,break_even_m,break_even_h
empirical_topsis,3,874.6666666666666,1003.3333333333334,255.0,0.6784313725490196,255.0,small_scale,1.1471036585365855,0.2915396341463415,0.8717607973421926,3.430065359477124
ft_protect,3,871.3333333333334,992.6666666666666,260.6666666666667,,260.6666666666667,small_scale,1.139250191277735,0.2991583779648049,0.877770315648086,3.342710997442455
random,3,853.3333333333334,991.0,272.3333333333333,0.6940024479804161,272.3333333333333,small_scale,1.161328125,0.31914062499999996,0.8610830810628994,3.1334149326805387
reserve_specialist,3,852.3333333333334,989.6666666666666,261.3333333333333,,261.3333333333333,small_scale,1.16112631990614,0.3066093077825576,0.8612327382957226,3.261479591836735
ft_protect_last,3,852.0,990.3333333333334,263.0,,263.0,small_scale,1.1623630672926448,0.3086854460093897,0.8603163917872769,3.2395437262357416
topsis,3,849.3333333333334,985.6666666666666,259.0,,259.0,small_scale,1.1605180533751962,0.3049450549450549,0.8616841393304026,3.2792792792792795
ft_fatigue_last,3,846.0,971.6666666666666,267.6666666666667,,267.6666666666667,small_scale,1.148542159180457,0.31639085894405045,0.8706689536878216,3.1606475716064755
ft_fatigue,3,845.0,986.0,265.3333333333333,,265.3333333333333,small_scale,1.1668639053254437,0.3140039447731755,0.8569979716024341,3.184673366834171
batch_milp,3,844.6666666666666,1005.3333333333334,271.0,0.6801968019680197,271.0,small_scale,1.190213101815312,0.32083662194159435,0.8401856763925729,3.116851168511685
optimal_assignment,3,844.6666666666666,1005.3333333333334,271.0,,271.0,small_scale,1.190213101815312,0.32083662194159435,0.8401856763925729,3.116851168511685
ft_gini,3,844.0,998.6666666666666,254.0,,254.0,small_scale,1.1832543443917851,0.3009478672985782,0.8451268357810414,3.322834645669291
shortest_processing,3,842.3333333333334,1004.0,266.3333333333333,,266.3333333333333,small_scale,1.1919271863870202,0.3161851998417095,0.8389774236387783,3.1627033792240304
dql_mlp,3,833.0,985.6666666666666,263.3333333333333,0.6683544303797468,263.3333333333333,small_scale,1.1832733093237295,0.3161264505802321,0.8451132904971255,3.1632911392405068
dql_mlp_last,3,833.0,985.6666666666666,263.3333333333333,,263.3333333333333,small_scale,1.1832733093237295,0.3161264505802321,0.8451132904971255,3.1632911392405068
ft_gini_last,3,832.6666666666666,985.6666666666666,265.6666666666667,,265.6666666666667,small_scale,1.1837469975980786,0.3190552441953563,0.8447751099086912,3.1342534504391466
hc_v6,3,832.0,978.3333333333334,265.3333333333333,0.6846733668341709,265.3333333333333,small_scale,1.1758814102564104,0.3189102564102564,0.8504258943781942,3.1356783919597992
train_weakest,3,821.6666666666666,955.0,240.0,0.6333333333333333,240.0,small_scale,1.1622718052738337,0.2920892494929006,0.8603839441535777,3.423611111111111
po_v6,3,813.0,985.6666666666666,244.33333333333334,,244.33333333333334,small_scale,1.2123821238212382,0.30053300533005334,0.8248224551910721,3.3274215552523874
po_v6_last,3,813.0,985.6666666666666,244.33333333333334,,244.33333333333334,small_scale,1.2123821238212382,0.30053300533005334,0.8248224551910721,3.3274215552523874
greedy_reward,3,810.0,944.0,239.0,,239.0,small_scale,1.165432098765432,0.29506172839506173,0.8580508474576272,3.3891213389121337
a2c_mlp_last,3,809.0,915.0,219.66666666666666,,219.66666666666666,small_scale,1.131025957972806,0.27152863617634937,0.8841530054644808,3.6828528072837634
