scenario,agent,share_of_gain_region,P,M,D
small_scale,hc_v6,0.0,832.0,978.3333333333334,265.3333333333333
small_scale,ft_quality,0.0,762.6666666666666,909.3333333333334,243.66666666666666
small_scale,empirical_topsis,0.42482758620689653,874.6666666666666,1003.3333333333334,255.0
small_scale,empirical_spt,0.0,784.3333333333334,1086.0,266.3333333333333
small_scale,batch_milp,0.0,844.6666666666666,1005.3333333333334,271.0
small_scale,shortest_queue,0.0,777.6666666666666,897.6666666666666,244.66666666666666
small_scale,least_fatigued,0.0,777.6666666666666,897.6666666666666,244.66666666666666
small_scale,round_robin,0.0,772.6666666666666,931.3333333333334,254.33333333333334
small_scale,least_busy,0.5751724137931035,809.0,915.0,219.66666666666666
small_scale,train_weakest,0.0,821.6666666666666,955.0,240.0
small_scale,random,0.0,853.3333333333334,991.0,272.3333333333333
small_scale,a2c_mlp,0.0,798.0,914.6666666666666,229.0
small_scale,grpo_mlp,0.0,808.0,927.0,224.33333333333334
small_scale,dql_mlp,0.0,833.0,985.6666666666666,263.3333333333333
baseline,hc_v6,0.19119878603945373,1908.6,4115.2,470.6
baseline,ft_quality,0.0,1697.4,3740.2,451.8
baseline,empirical_topsis,0.12008552903848807,1935.2,4251.6,487.6
baseline,empirical_spt,0.0,1711.4,4957.6,410.8
baseline,batch_milp,0.6527796937508622,1826.6,4121.6,377.0
baseline,shortest_queue,0.035522140984963445,1810.2,3866.6,457.8
baseline,least_fatigued,0.0,1810.2,3866.6,457.8
baseline,round_robin,0.0,1669.4,3646.2,459.2
baseline,least_busy,0.0,1428.6,3344.0,337.8
baseline,train_weakest,0.0,1109.8,2705.6,322.6
baseline,random,0.0,1664.8,3634.8,477.4
baseline,a2c_mlp,0.0,1408.4,3431.6,355.2
baseline,grpo_mlp,0.0,1407.2,3184.4,332.0
baseline,dql_mlp,0.00041385018623258383,1583.4,3453.6,369.6
massive_scale,hc_v6,0.0,2164.3333333333335,19300.666666666668,1200.6666666666667
massive_scale,ft_quality,0.998207171314741,2227.6666666666665,19629.0,1183.0
massive_scale,empirical_topsis,0.0,1963.6666666666667,19093.333333333332,1165.3333333333333
massive_scale,empirical_spt,0.0,2097.0,18900.0,1482.6666666666667
massive_scale,batch_milp,0.0,1766.3333333333333,18809.666666666668,1196.0
massive_scale,shortest_queue,0.0,1218.0,14493.333333333334,979.3333333333334
massive_scale,least_fatigued,0.0,1218.0,14493.333333333334,979.3333333333334
massive_scale,round_robin,0.0017928286852589642,2044.0,17901.333333333332,1402.3333333333333
massive_scale,least_busy,0.0,1566.3333333333333,15644.666666666666,1576.3333333333333
massive_scale,train_weakest,0.0,1525.0,15595.333333333334,1612.0
massive_scale,random,0.0,1636.0,16074.666666666666,1346.6666666666667
massive_scale,a2c_mlp,0.0,1649.0,16021.333333333334,1546.3333333333333
massive_scale,grpo_mlp,0.0,1676.3333333333333,16283.0,1607.0
massive_scale,dql_mlp,0.0,1717.3333333333333,16491.0,1576.6666666666667
very_long,hc_v6,0.0,110295.0,972669.0,60229.0
very_long,ft_quality,1.0,113069.0,971565.0,59257.0
very_long,empirical_topsis,0.0,99461.0,942183.0,53327.0
very_long,empirical_spt,0.0,99433.0,928040.0,66269.0
very_long,batch_milp,0.0,96173.0,923969.0,57848.0
very_long,shortest_queue,0.0,83747.0,838176.0,50606.0
very_long,least_fatigued,0.0,83747.0,838176.0,50606.0
very_long,round_robin,0.0,86841.0,839957.0,61959.0
very_long,least_busy,0.0,73512.0,771459.0,75906.0
very_long,train_weakest,0.0,72966.0,738164.0,75629.0
very_long,random,0.0,81076.0,839900.0,66216.0
very_long,a2c_mlp,0.0,88038.0,821965.0,76882.0
very_long,grpo_mlp,0.0,85392.0,803957.0,78149.0
very_long,dql_mlp,0.0,83032.0,807793.0,75511.0
lifecycle,hc_v6,0.0,29486.0,540296.0,43393.0
lifecycle,ft_quality,1.0,30601.0,544061.0,42320.0
lifecycle,empirical_topsis,0.0,28040.0,518444.0,39051.0
lifecycle,empirical_spt,0.0,26453.0,523928.0,49700.0
lifecycle,batch_milp,0.0,29060.0,537852.0,43685.0
lifecycle,shortest_queue,0.0,26673.0,502804.0,39930.0
lifecycle,least_fatigued,0.0,26673.0,502804.0,39930.0
lifecycle,round_robin,0.0,24928.0,495739.0,46651.0
lifecycle,least_busy,0.0,22430.0,476379.0,59121.0
lifecycle,train_weakest,0.0,17630.0,445375.0,59588.0
lifecycle,random,0.0,25665.0,491760.0,50232.0
lifecycle,a2c_mlp,0.0,22715.0,474259.0,58844.0
lifecycle,grpo_mlp,0.0,22546.0,470145.0,57976.0
lifecycle,dql_mlp,0.0,22871.0,480156.0,57942.0
