scenario,corner,agent,score,rank
S1,prod,hc_v6,4.51415,7
S1,prod,ft_quality,12.4713,15
S1,prod,topsis,2.52487,3
S1,prod,shortest_processing,3.32823,5
S1,prod,reserve_specialist,2.18057,2
S1,prod,shortest_queue,10.7498,12
S1,prod,least_fatigued,10.7498,12
S1,prod,round_robin,11.3236,14
S1,prod,least_busy,7.15379,9
S1,prod,train_weakest,5.70008,8
S1,prod,random,2.0658,1
S1,prod,optimal_assignment,3.06044,4
S1,prod,a2c_mlp,8.41622,11
S1,prod,grpo_mlp,7.26855,10
S1,prod,dql_mlp,4.39939,6
S1,mttr_mean,hc_v6,2.12669,7
S1,mttr_mean,ft_quality,9.25203,12
S1,mttr_mean,topsis,3.07879,9
S1,mttr_mean,shortest_processing,1.58174,4
S1,mttr_mean,reserve_specialist,2.2592,8
S1,mttr_mean,shortest_queue,11.8881,14
S1,mttr_mean,least_fatigued,11.8881,14
S1,mttr_mean,round_robin,10.7506,13
S1,mttr_mean,least_busy,0,1
S1,mttr_mean,train_weakest,1.59726,5
S1,mttr_mean,random,4.47709,11
S1,mttr_mean,optimal_assignment,1.68061,6
S1,mttr_mean,a2c_mlp,0.795488,3
S1,mttr_mean,grpo_mlp,0.10121,2
S1,mttr_mean,dql_mlp,3.36678,10
S1,disr,hc_v6,17.45,11
S1,disr,ft_quality,17.6646,13
S1,disr,topsis,12.3068,5
S1,disr,shortest_processing,16.4464,10
S1,disr,reserve_specialist,12.9197,6
S1,disr,shortest_queue,15.8686,7
S1,disr,least_fatigued,15.8686,7
S1,disr,round_robin,21.2259,15
S1,disr,least_busy,0,1
S1,disr,train_weakest,7.57217,4
S1,disr,random,17.5348,12
S1,disr,optimal_assignment,18.1594,14
S1,disr,a2c_mlp,5.68588,3
S1,disr,grpo_mlp,2.25082,2
S1,disr,dql_mlp,16.4247,9
S1,know,hc_v6,0.496055,7
S1,know,ft_quality,1.87549,10
S1,know,topsis,0.0100507,2
S1,know,shortest_processing,0.287571,6
S1,know,reserve_specialist,0,1
S1,know,shortest_queue,2.25256,12
S1,know,least_fatigued,2.25256,12
S1,know,round_robin,3.01523,15
S1,know,least_busy,2.16495,11
S1,know,train_weakest,0.848797,8
S1,know,random,0.0974653,4
S1,know,optimal_assignment,0.265832,5
S1,know,a2c_mlp,2.47924,14
S1,know,grpo_mlp,1.73086,9
S1,know,dql_mlp,0.0716776,3
S2,prod,hc_v6,1.18049,1
S2,prod,ft_quality,12.1156,8
S2,prod,topsis,2.35063,2
S2,prod,shortest_processing,5.42612,3
S2,prod,reserve_specialist,6.36844,7
S2,prod,shortest_queue,6.27524,5
S2,prod,least_fatigued,6.27524,5
S2,prod,round_robin,13.5653,9
S2,prod,least_busy,26.0329,12
S2,prod,train_weakest,42.5391,15
S2,prod,random,13.8035,10
S2,prod,optimal_assignment,5.42612,3
S2,prod,a2c_mlp,27.0788,13
S2,prod,grpo_mlp,27.1409,14
S2,prod,dql_mlp,18.018,11
S2,mttr_mean,hc_v6,3.28749,6
S2,mttr_mean,ft_quality,12.1195,12
S2,mttr_mean,topsis,1.94766,4
S2,mttr_mean,shortest_processing,0,1
S2,mttr_mean,reserve_specialist,4.03793,7
S2,mttr_mean,shortest_queue,9.74647,8
S2,mttr_mean,least_fatigued,9.74647,8
S2,mttr_mean,round_robin,10.2608,11
S2,mttr_mean,least_busy,1.51911,3
S2,mttr_mean,train_weakest,24.9831,15
S2,mttr_mean,random,16.1944,14
S2,mttr_mean,optimal_assignment,0,1
S2,mttr_mean,a2c_mlp,3.16595,5
S2,mttr_mean,grpo_mlp,9.95516,10
S2,mttr_mean,dql_mlp,13.1693,13
S2,disr,hc_v6,19.4646,6
S2,disr,ft_quality,28.9627,12
S2,disr,topsis,22.8485,10
S2,disr,shortest_processing,0,1
S2,disr,reserve_specialist,26.2982,11
S2,disr,shortest_queue,22.5325,8
S2,disr,least_fatigued,22.5325,8
S2,disr,round_robin,33.2734,13
S2,disr,least_busy,14.5648,5
S2,disr,train_weakest,40.8386,15
S2,disr,random,38.9385,14
S2,disr,optimal_assignment,0,1
S2,disr,a2c_mlp,22.1938,7
S2,disr,grpo_mlp,14.31,4
S2,disr,dql_mlp,13.095,3
S2,know,hc_v6,0.347093,1
S2,know,ft_quality,5.02391,6
S2,know,topsis,2.88913,4
S2,know,shortest_processing,6.28238,9
S2,know,reserve_specialist,8.48173,12
S2,know,shortest_queue,2.76621,2
S2,know,least_fatigued,2.76621,2
S2,know,round_robin,5.711,7
S2,know,least_busy,8.5251,13
S2,know,train_weakest,22.2554,15
S2,know,random,3.30572,5
S2,know,optimal_assignment,6.28238,9
S2,know,a2c_mlp,7.02906,11
S2,know,grpo_mlp,9.84284,14
S2,know,dql_mlp,6.14497,8
S3,prod,hc_v6,2.84303,4
S3,prod,ft_quality,0,1
S3,prod,topsis,1.3467,2
S3,prod,shortest_processing,1.49633,3
S3,prod,reserve_specialist,9.00793,6
S3,prod,shortest_queue,45.324,14
S3,prod,least_fatigued,45.324,14
S3,prod,round_robin,8.2448,5
S3,prod,least_busy,29.6873,12
