agent,scenario,prod,mttr_mean,disr,know,score_equal
a2c_mlp,S1,8.41622,0.795488,5.68588,2.47924,4.34421
a2c_mlp_last,S1,7.15379,0,0,2.16495,2.32968
dql_mlp,S1,4.39939,3.36678,16.4247,0.0716776,6.06564
dql_mlp_last,S1,4.39939,3.36678,16.4247,0.0716662,6.06564
ft_fatigue,S1,3.02219,3.48095,15.643,0.271078,5.60431
ft_fatigue_last,S1,2.90742,3.47087,16.5221,0.604427,5.8762
ft_gini,S1,3.13695,1.38188,10.8347,0.0818551,3.85884
ft_gini_last,S1,4.43764,1.33104,17.5034,0.159746,5.85794
ft_protect,S1,0,3.31669,10.1756,0.146941,3.40981
ft_protect_last,S1,2.21882,1.9594,13.6843,0.0317462,4.47357
ft_quality,S1,12.4713,9.25203,17.6646,1.87549,10.3158
ft_quality_last,S1,12.4713,9.25203,17.6646,1.87549,10.3158
grpo_mlp,S1,7.26855,0.10121,2.25082,1.73086,2.83786
grpo_mlp_last,S1,7.26855,0.10121,2.25082,1.73087,2.83786
hc_v6,S1,4.51415,2.12669,17.45,0.496055,6.14671
hc_v6_last,S1,10.9028,10.2756,11.6399,4.35509,9.29336
least_busy,S1,7.15379,0,0,2.16495,2.32969
least_fatigued,S1,10.7498,11.8881,15.8686,2.25256,10.1898
optimal_assignment,S1,3.06044,1.68061,18.1594,0.265832,5.79157
random,S1,2.0658,4.47709,17.5348,0.0974653,6.04379
reserve_specialist,S1,2.18057,2.2592,12.9197,0,4.33986
round_robin,S1,11.3236,10.7506,21.2259,3.01523,11.5789
shortest_processing,S1,3.32823,1.58174,16.4464,0.287571,5.41097
shortest_queue,S1,10.7498,11.8881,15.8686,2.25256,10.1898
topsis,S1,2.52487,3.07879,12.3068,0.0100507,4.48012
train_weakest,S1,5.70008,1.59726,7.57217,0.848797,3.92958
a2c_mlp,S2,27.0788,3.16595,22.1938,7.02906,14.8669
a2c_mlp_last,S2,26.5714,9.47881,20.1878,15.2956,17.8834
dql_mlp,S2,18.018,13.1693,13.095,6.14497,12.6068
dql_mlp_last,S2,18.018,13.1693,13.095,6.14497,12.6068
ft_fatigue,S2,13.7517,12.4607,27.1044,4.28839,14.4013
ft_fatigue_last,S2,14.9632,9.45337,27.7353,1.8465,13.4996
ft_gini,S2,3.24117,5.40785,22.1644,0.483116,7.82413
ft_gini_last,S2,25.5255,14.7253,38.104,4.57166,20.7316
ft_protect,S2,10.4898,7.7289,23.2573,1.47939,10.7388
ft_protect_last,S2,0,2.66015,20.2619,0,5.7305
ft_quality,S2,12.1156,12.1195,28.9627,5.02391,14.5554
ft_quality_last,S2,12.1156,12.1195,28.9627,5.02391,14.5554
grpo_mlp,S2,27.1409,9.95516,14.31,9.84284,15.3122
grpo_mlp_last,S2,27.1409,9.95516,14.31,9.84284,15.3122
hc_v6,S2,1.18049,3.28749,19.4646,0.347093,6.06991
hc_v6_last,S2,1.00445,2.84281,23.7627,0.120025,6.9325
least_busy,S2,26.0329,1.51911,14.5648,8.5251,12.6605
least_fatigued,S2,6.27524,9.74647,22.5325,2.76621,10.3301
optimal_assignment,S2,5.42612,0,0,6.28238,2.92712
random,S2,13.8035,16.1944,38.9385,3.30572,18.0605
reserve_specialist,S2,6.36844,4.03793,26.2982,8.48173,11.2966
round_robin,S2,13.5653,10.2608,33.2734,5.711,15.7026
shortest_processing,S2,5.42612,0,0,6.28238,2.92712
shortest_queue,S2,6.27524,9.74647,22.5325,2.76621,10.3301
topsis,S2,2.35063,1.94766,22.8485,2.88913,7.50899
train_weakest,S2,42.5391,24.9831,40.8386,22.2554,32.6541
a2c_mlp,S3,25.9764,24.1206,79.2554,4.01405,33.3416
a2c_mlp_last,S3,30.4953,28.955,83.667,5.97587,37.2733
dql_mlp,S3,22.9089,21.7232,75.4992,5.2001,31.3328
dql_mlp_last,S3,24.5399,25.0444,77.7004,6.39584,33.4202
ft_fatigue,S3,3.80069,3.64177,4.09708,1.04646,3.1465
ft_fatigue_last,S3,2.61858,4.90559,0.424907,0,1.98727
ft_gini,S3,4.50397,7.72248,13.49,0.565958,6.57061
ft_gini_last,S3,5.47658,8.79993,13.4474,0.59224,7.07903
ft_protect,S3,3.41164,8.30078,8.47522,0.74075,5.2321
ft_protect_last,S3,2.99267,6.53759,8.92078,0.875761,4.8317
ft_quality,S3,0,0.194735,1.51364,0.136235,0.461154
ft_quality_last,S3,0.94269,1.14061,1.7867,0.167834,1.00946
grpo_mlp,S3,24.7494,28.3307,83.2506,5.11253,35.3608
grpo_mlp_last,S3,22.1009,25.6398,76.4327,4.33966,32.1283
hc_v6,S3,2.84303,4.35227,6.04451,0.368928,3.40219
hc_v6_last,S3,4.8182,6.42019,12.9632,0.542043,6.18589
least_busy,S3,29.6873,27.0153,92.3773,7.25666,39.0841
least_fatigued,S3,45.324,19.6588,53.6997,7.33159,31.5035
optimal_assignment,S3,20.7093,0,29.434,1.60765,12.9377
random,S3,26.5599,23.7006,57.35,6.5375,28.537
reserve_specialist,S3,9.00793,3.18924,22.1568,8.07996,10.6085
round_robin,S3,8.2448,18.9318,31.1476,2.33662,15.1652
shortest_processing,S3,1.49633,0.627838,10.7217,0.361141,3.30176
shortest_queue,S3,45.324,19.6588,53.6997,7.33159,31.5035
topsis,S3,1.3467,2.59764,0,2.24569,1.54751
train_weakest,S3,31.5427,37.9782,102.062,10.4235,45.5017
a2c_mlp,S4,22.1378,24.288,70.3378,3.63878,30.1006
a2c_mlp_last,S4,26.6112,25.5021,78.913,6.65014,34.4191
dql_mlp,S4,26.5652,26.2337,77.3868,17.8976,37.0208
dql_mlp_last,S4,28.8328,26.0441,82.9663,14.4218,38.0662
ft_fatigue,S4,1.98286,5.80318,3.06168,0.777402,2.90628
ft_fatigue_last,S4,1.22757,6.10199,2.32075,0.414812,2.51628
ft_gini,S4,3.65441,9.61282,9.59823,0,5.71636
ft_gini_last,S4,5.50726,11.7935,14.5332,3.33395,8.79198
ft_protect,S4,1.75557,6.30975,4.49839,0.479531,3.26081
ft_protect_last,S4,3.30683,3.44156,4.89747,1.14438,3.19756
ft_quality,S4,0,4.33066,2.22395,0.804384,1.83975
ft_quality_last,S4,0,4.33066,2.22395,0.804384,1.83975
grpo_mlp,S4,24.478,28.6668,78.5101,13.9913,36.4116
grpo_mlp_last,S4,25.7356,26.7431,83.0616,7.77899,35.8298
hc_v6,S4,2.45337,5.22937,6.51393,0.614344,3.70275
hc_v6_last,S4,3.36786,6.54879,6.75786,0.173315,4.21195
least_busy,S4,34.9848,30.3973,101.407,17.0352,45.9561
least_fatigued,S4,25.9328,11.6926,17.8662,3.67969,14.7928
optimal_assignment,S4,14.9431,1.41121,17.3253,6.74753,10.1068
random,S4,28.2951,21.2045,59.3042,12.7694,30.3933
reserve_specialist,S4,31.8354,1.95792,52.9299,23.7757,27.6248
round_robin,S4,23.1965,19.435,39.167,11.9345,23.4332
shortest_processing,S4,13.2096,1.18585,16.5125,4.6631,8.89277
shortest_queue,S4,25.9328,11.6926,17.8662,3.67969,14.7928
topsis,S4,9.75511,0,0,5.85663,3.90293
train_weakest,S4,35.4677,36.0076,102.174,31.9252,51.3935
a2c_mlp,S5,25.9205,19.5175,87.318,12.2487,36.2512
a2c_mlp_last,S5,35.564,19.8409,111.766,14.1251,45.3239
dql_mlp,S5,25.4117,18.7494,83.1885,14.9738,35.5808
dql_mlp_last,S5,28.5393,18.1061,88.566,12.2681,36.8699
ft_fatigue,S5,6.47686,3.3999,6.11162,0.971783,4.24004
ft_fatigue_last,S5,4.3603,2.24199,2.84854,0,2.36271
ft_gini,S5,11.1731,6.3028,18.1622,0.887901,9.13149
ft_gini_last,S5,13.0092,6.91725,22.8086,3.97298,11.677
ft_protect,S5,2.84382,3.03682,2.96166,3.59102,3.10833
ft_protect_last,S5,11.0426,2.49479,9.21443,0.735597,5.87186
ft_quality,S5,0.202198,1.65824,0,1.63506,0.873875
ft_quality_last,S5,0.202198,1.65824,0,1.63506,0.873875
grpo_mlp,S5,26.4716,19.4767,85.9382,12.1643,36.0127
grpo_mlp_last,S5,33.4801,18.7242,106.074,13.5018,42.9451
hc_v6,S5,3.8385,3.8357,6.41278,1.11472,3.80043
hc_v6_last,S5,0,3.53375,3.7666,0.681507,1.99547
least_busy,S5,26.8499,19.8327,90.591,6.78583,36.0149
least_fatigued,S5,13.0124,5.70525,8.24738,3.79276,7.68945
optimal_assignment,S5,5.2278,0,8.69929,5.62757,4.88866
random,S5,16.2998,14.7392,41.5237,9.82858,20.5978
reserve_specialist,S5,28.5393,16.0623,69.0567,18.3413,32.9999
round_robin,S5,18.7033,11.9538,35.3205,11.7588,19.4341
shortest_processing,S5,5.2278,0,8.69929,5.62757,4.88866
shortest_queue,S5,13.0124,5.70525,8.24738,3.79276,7.68945
topsis,S5,12.4026,1.53942,5.53395,6.2346,6.42763
train_weakest,S5,42.504,25.704,144.397,23.7239,59.0823
