agent,scenario,hc_v6,ft_quality,topsis,shortest_processing,reserve_specialist,shortest_queue,least_fatigued,round_robin,least_busy,train_weakest,random,optimal_assignment,a2c_mlp,grpo_mlp,dql_mlp
hc_v6,S1,0,1,0.0348,0,0.00025,0.987,0.987,1,0.131,0.0985,0.4353,0.1545,0.2893,0.1361,0.37185
ft_quality,S1,0,0,0,0,0,0.41655,0.41655,0.94605,5e-05,0,0,0.0008,0.0005,0,0
topsis,S1,0.9652,1,0,0.85255,0.27055,1,1,1,0.25255,0.34975,0.983,0.8805,0.48175,0.2752,1
shortest_processing,S1,1,1,0.14745,0,0.04335,0.9991,0.9991,1,0.20765,0.256,0.8114,0.89325,0.3937,0.22115,0.98085
reserve_specialist,S1,0.99975,1,0.72945,0.95665,0,1,1,1,0.28275,0.41545,0.9994,0.97145,0.5161,0.309,1
shortest_queue,S1,0.013,0.58345,0,0.0009,0,0,0,0.92895,0,0,0.01215,0.02295,0.0001,0,0.001
least_fatigued,S1,0.013,0.58345,0,0.0009,0,0,0,0.92895,0,0,0.01215,0.02295,0.0001,0,0.001
round_robin,S1,0,0.05395,0,0,0,0.07105,0.07105,0,0,0,0,0,0,0,0
least_busy,S1,0.869,0.99995,0.74745,0.79235,0.71725,1,1,1,0,0.82995,0.82175,0.8021,1,0.89485,0.8695
train_weakest,S1,0.9015,1,0.65025,0.744,0.58455,1,1,1,0.17005,0,0.81815,0.7665,0.67435,0.1976,0.90195
random,S1,0.5647,1,0.017,0.1886,0.0006,0.98785,0.98785,1,0.17825,0.18185,0,0.43245,0.30995,0.187,0.45555
optimal_assignment,S1,0.8455,0.9992,0.1195,0.10675,0.02855,0.97705,0.97705,1,0.1979,0.2335,0.56755,0,0.36365,0.21015,0.6776
a2c_mlp,S1,0.7107,0.9995,0.51825,0.6063,0.4839,0.9999,0.9999,1,0,0.32565,0.69005,0.63635,0,0,0.71965
grpo_mlp,S1,0.8639,1,0.7248,0.77885,0.691,1,1,1,0.10515,0.8024,0.813,0.78985,1,0,0.8631
