scenario,agent,n_dominators,pareto,dominated_by,n_dominators_field,tied_with
S1,hc_v6,1,False,shortest_processing,3,
S1,ft_quality,8,False,hc_v6;topsis;shortest_processing;reserve_specialist;train_weakest;random;grpo_mlp;dql_mlp,16,
S1,topsis,0,True,,0,
S1,shortest_processing,0,True,,1,
S1,reserve_specialist,0,True,,0,
S1,shortest_queue,5,False,topsis;reserve_specialist;least_busy;train_weakest;grpo_mlp,11,least_fatigued
S1,least_fatigued,5,False,topsis;reserve_specialist;least_busy;train_weakest;grpo_mlp,11,shortest_queue
S1,round_robin,11,False,hc_v6;topsis;shortest_processing;reserve_specialist;least_busy;train_weakest;random;optimal_assignment;a2c_mlp;grpo_mlp;dql_mlp,20,
S1,least_busy,0,True,,1,
S1,train_weakest,0,True,,0,
S1,random,0,True,,0,
S1,optimal_assignment,0,True,,0,
S1,a2c_mlp,2,False,least_busy;grpo_mlp,4,
S1,grpo_mlp,0,True,,0,
S1,dql_mlp,2,False,topsis;reserve_specialist,4,
S2,hc_v6,0,True,,0,
S2,ft_quality,4,False,hc_v6;topsis;shortest_queue;least_fatigued,8,
S2,topsis,0,True,,0,
S2,shortest_processing,0,True,,0,optimal_assignment
S2,reserve_specialist,4,False,hc_v6;topsis;shortest_processing;optimal_assignment,6,
S2,shortest_queue,1,False,hc_v6,3,least_fatigued
S2,least_fatigued,1,False,hc_v6,3,shortest_queue
S2,round_robin,4,False,hc_v6;topsis;shortest_queue;least_fatigued,8,
S2,least_busy,2,False,shortest_processing;optimal_assignment,2,
S2,train_weakest,14,False,hc_v6;ft_quality;topsis;shortest_processing;reserve_specialist;shortest_queue;least_fatigued;round_robin;least_busy;random;optimal_assignment;a2c_mlp;grpo_mlp;dql_mlp,25,
S2,random,4,False,hc_v6;topsis;shortest_queue;least_fatigued,8,
S2,optimal_assignment,0,True,,0,shortest_processing
S2,a2c_mlp,2,False,shortest_processing;optimal_assignment,3,
S2,grpo_mlp,2,False,shortest_processing;optimal_assignment,3,
S2,dql_mlp,0,True,,1,
S3,hc_v6,1,False,ft_quality,2,
S3,ft_quality,0,True,,0,
S3,topsis,0,True,,0,
S3,shortest_processing,1,False,ft_quality,1,
S3,reserve_specialist,3,False,ft_quality;topsis;shortest_processing,4,
S3,shortest_queue,6,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment,14,least_fatigued
S3,least_fatigued,6,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment,14,shortest_queue
S3,round_robin,4,False,hc_v6;ft_quality;topsis;shortest_processing,12,
S3,least_busy,9,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;random;optimal_assignment;a2c_mlp;dql_mlp,19,
S3,train_weakest,12,False,hc_v6;ft_quality;topsis;shortest_processing;reserve_specialist;round_robin;least_busy;random;optimal_assignment;a2c_mlp;grpo_mlp;dql_mlp,23,
S3,random,6,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment,14,
S3,optimal_assignment,0,True,,0,
S3,a2c_mlp,6,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment,14,
S3,grpo_mlp,6,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment,15,
S3,dql_mlp,6,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment,14,
S4,hc_v6,0,True,,0,
S4,ft_quality,0,True,,0,
S4,topsis,0,True,,0,
S4,shortest_processing,0,True,,0,
S4,reserve_specialist,3,False,topsis;shortest_processing;optimal_assignment,3,
S4,shortest_queue,2,False,hc_v6;ft_quality,9,least_fatigued
S4,least_fatigued,2,False,hc_v6;ft_quality,9,shortest_queue
S4,round_robin,5,False,hc_v6;ft_quality;topsis;shortest_processing;optimal_assignment,13,
S4,least_busy,11,False,hc_v6;ft_quality;topsis;shortest_processing;shortest_queue;least_fatigued;round_robin;random;optimal_assignment;a2c_mlp;grpo_mlp,22,
S4,train_weakest,14,False,hc_v6;ft_quality;topsis;shortest_processing;reserve_specialist;shortest_queue;least_fatigued;round_robin;least_busy;random;optimal_assignment;a2c_mlp;grpo_mlp;dql_mlp,25,
S4,random,8,False,hc_v6;ft_quality;topsis;shortest_processing;shortest_queue;least_fatigued;round_robin;optimal_assignment,16,
S4,optimal_assignment,2,False,topsis;shortest_processing,2,
S4,a2c_mlp,2,False,hc_v6;ft_quality,10,
S4,grpo_mlp,7,False,hc_v6;ft_quality;topsis;shortest_processing;round_robin;optimal_assignment;a2c_mlp,15,
S4,dql_mlp,9,False,hc_v6;ft_quality;topsis;shortest_processing;shortest_queue;least_fatigued;round_robin;optimal_assignment;a2c_mlp,17,
S5,hc_v6,0,True,,1,
S5,ft_quality,0,True,,0,
S5,topsis,0,True,,0,
S5,shortest_processing,0,True,,0,optimal_assignment
S5,reserve_specialist,9,False,hc_v6;ft_quality;topsis;shortest_processing;shortest_queue;least_fatigued;round_robin;random;optimal_assignment,17,
S5,shortest_queue,2,False,hc_v6;ft_quality,7,least_fatigued
S5,least_fatigued,2,False,hc_v6;ft_quality,7,shortest_queue
S5,round_robin,7,False,hc_v6;ft_quality;topsis;shortest_processing;shortest_queue;least_fatigued;optimal_assignment,15,
S5,least_busy,7,False,hc_v6;ft_quality;topsis;shortest_processing;shortest_queue;least_fatigued;optimal_assignment,15,
S5,train_weakest,14,False,hc_v6;ft_quality;topsis;shortest_processing;reserve_specialist;shortest_queue;least_fatigued;round_robin;least_busy;random;optimal_assignment;a2c_mlp;grpo_mlp;dql_mlp,25,
