scenario,agent,n_rank1,w_mean_prod,w_mean_mttr_mean,w_mean_disr,w_mean_know,w_min_prod,w_min_mttr_mean,w_min_disr,w_min_know,p_prod_know_majority
S1,topsis,67,0.0971853,0.0177379,0.124964,0.760113,0.000718958,7.55369e-05,0.0187048,0.508067,1
S1,shortest_processing,66,0.118294,0.499074,0.00827914,0.374353,0.00383853,0.336685,0.000685171,0.0918471,0.454545
S1,reserve_specialist,5476,0.418688,0.177676,0.0764043,0.327231,6.46077e-07,3.63944e-05,2.54835e-06,1.7182e-05,0.966216
S1,least_busy,14072,0.188725,0.274334,0.325506,0.211436,2.37701e-06,7.39614e-05,0.000182596,1.18798e-05,0.314454
S1,random,12,0.791136,0.0085682,0.00681793,0.193478,0.554143,0.000227451,0.000348706,0.0117874,1
S1,optimal_assignment,21,0.279708,0.582208,0.00364681,0.134437,0.13368,0.421722,0.000184625,0.00549403,0.047619
S1,grpo_mlp,286,0.0466301,0.428622,0.0468693,0.477879,9.3999e-05,0.0457759,2.26119e-05,0.216299,0.594406
S2,hc_v6,5503,0.354498,0.180883,0.0708005,0.393818,6.46077e-07,7.55369e-05,2.54835e-06,1.7182e-05,0.970198
S2,topsis,22,0.368399,0.545892,0.0062647,0.0794448,0.189256,0.489651,0.000345093,0.0106672,0.0909091
S2,shortest_processing,14475,0.209505,0.275994,0.319975,0.194526,2.37701e-06,3.63944e-05,2.26119e-05,1.18798e-05,0.321589
S2,optimal_assignment,14475,0.209505,0.275994,0.319975,0.194526,2.37701e-06,3.63944e-05,2.26119e-05,1.18798e-05,0.321589
S3,ft_quality,18270,0.26068,0.264617,0.21175,0.262953,6.46077e-07,3.63944e-05,2.54835e-06,1.18798e-05,0.546962
S3,topsis,1730,0.132294,0.0970324,0.666311,0.104363,2.37701e-06,0.000111438,0.487996,2.04033e-05,0.0017341
S4,hc_v6,8,0.0103765,0.0519762,0.0095392,0.928108,0.000664014,0.000693998,0.000444411,0.856074,1
S4,ft_quality,15315,0.300218,0.192935,0.219915,0.286932,6.46077e-07,3.63944e-05,2.54835e-06,1.18798e-05,0.652171
S4,topsis,4677,0.0841513,0.437717,0.353498,0.124633,2.37701e-06,0.000111438,2.26119e-05,2.12699e-05,0
S5,hc_v6,35,0.0326441,0.0528235,0.0184449,0.896087,6.46077e-07,0.000693998,0.000444411,0.846991,1
S5,ft_quality,19746,0.252096,0.244,0.253833,0.250071,2.37701e-06,3.63944e-05,2.54835e-06,1.18798e-05,0.504457
S5,shortest_processing,219,0.0569754,0.833517,0.039043,0.0704642,0.000733922,0.718753,0.000182596,0.000528295,0
S5,optimal_assignment,219,0.0569754,0.833517,0.039043,0.0704642,0.000733922,0.718753,0.000182596,0.000528295,0
Overall,hc_v6,10353,0.337166,0.164472,0.156632,0.341729,6.46077e-07,3.63944e-05,2.54835e-06,1.7182e-05,0.953733
Overall,topsis,6531,0.156974,0.225517,0.468216,0.149293,2.37701e-06,0.000111438,0.180583,1.18798e-05,0.0116368
Overall,shortest_processing,3116,0.152638,0.586262,0.109709,0.151392,1.09844e-05,0.37144,2.26119e-05,2.12699e-05,0.0147625
