scenario,agent,p_rank1,rank_q05,rank_median,rank_q95,score_equal,rank_equal
S1,hc_v6,0,7,9,11,6.14671,11
S1,ft_quality,0,12,14,15,10.3158,14
S1,topsis,0.00335,2,5,8,4.48012,6
S1,shortest_processing,0.0033,3,7,7,5.41097,7
S1,reserve_specialist,0.2738,1,5,6,4.33986,4
S1,shortest_queue,0,12,12,14,10.1898,12
S1,least_fatigued,0,12,12,14,10.1898,12
S1,round_robin,0,13,15,15,11.5789,15
S1,least_busy,0.7036,1,1,10,2.32969,1
S1,train_weakest,0,3,4,8,3.92958,3
S1,random,0.0006,3,9,11,6.04379,9
S1,optimal_assignment,0.00105,3,8,11,5.79157,8
S1,a2c_mlp,0,3,5,11,4.34421,5
S1,grpo_mlp,0.0143,2,2,10,2.83786,2
S1,dql_mlp,0,6,9,11,6.06564,10
S2,hc_v6,0.27515,1,3,4,6.06991,3
S2,ft_quality,0,8,11,12,14.5554,10
S2,topsis,0.0011,2,4,7,7.50899,4
S2,shortest_processing,0.72375,1,1,3,2.92712,1
S2,reserve_specialist,0,5,7,11,11.2966,7
S2,shortest_queue,0,5,6,9,10.3301,5
S2,least_fatigued,0,5,6,9,10.3301,5
S2,round_robin,0,9,12,13,15.7026,13
S2,least_busy,0,3,8,12,12.6605,9
S2,train_weakest,0,15,15,15,32.6541,15
S2,random,0,9,14,14,18.0605,14
S2,optimal_assignment,0.72375,1,1,3,2.92712,1
S2,a2c_mlp,0,6,11,14,14.8669,11
S2,grpo_mlp,0,6,12,14,15.3122,12
S2,dql_mlp,0,4,9,12,12.6068,8
S3,hc_v6,0,3,4,4,3.40219,4
S3,ft_quality,0.9135,1,1,2,0.461154,1
S3,topsis,0.0865,1,2,4,1.54751,2
S3,shortest_processing,0,2,3,4,3.30176,3
S3,reserve_specialist,0,5,5,7,10.6085,5
S3,shortest_queue,0,8,9,14,31.5035,10
S3,least_fatigued,0,8,9,14,31.5035,10
S3,round_robin,0,5,7,7,15.1652,7
S3,least_busy,0,12,14,14,39.0841,14
S3,train_weakest,0,13,15,15,45.5017,15
S3,random,0,8,9,11,28.537,8
S3,optimal_assignment,0,5,6,7,12.9377,6
S3,a2c_mlp,0,9,12,12,33.3416,12
S3,grpo_mlp,0,10,13,13,35.3608,13
S3,dql_mlp,0,8,9,11,31.3328,9
S4,hc_v6,0.0004,2,2,3,3.70275,2
S4,ft_quality,0.76575,1,1,2,1.83975,1
S4,topsis,0.23385,1,3,3,3.90293,3
S4,shortest_processing,0,4,4,4,8.89277,4
S4,reserve_specialist,0,8,9,13,27.6248,9
S4,shortest_queue,0,6,6,7,14.7928,6
S4,least_fatigued,0,6,6,7,14.7928,6
S4,round_robin,0,8,8,9,23.4332,8
S4,least_busy,0,14,14,14,45.9561,14
S4,train_weakest,0,15,15,15,51.3935,15
S4,random,0,10,10,11,30.3933,11
S4,optimal_assignment,0,5,5,5,10.1068,5
S4,a2c_mlp,0,8,10,11,30.1006,10
S4,grpo_mlp,0,11,12,13,36.4116,12
S4,dql_mlp,0,12,13,13,37.0208,13
S5,hc_v6,0.00175,2,2,5,3.80043,2
S5,ft_quality,0.9873,1,1,1,0.873875,1
S5,topsis,0,3,5,7,6.42763,5
S5,shortest_processing,0.01095,2,3,5,4.88866,3
S5,reserve_specialist,0,10,10,14,32.9999,10
S5,shortest_queue,0,4,6,6,7.68945,6
S5,least_fatigued,0,4,6,6,7.68945,6
S5,round_robin,0,8,8,9,19.4341,8
S5,least_busy,0,10,13,14,36.0149,13
S5,train_weakest,0,15,15,15,59.0823,15
S5,random,0,8,9,9,20.5978,9
S5,optimal_assignment,0.01095,2,3,5,4.88866,3
S5,a2c_mlp,0,11,13,14,36.2512,14
S5,grpo_mlp,0,11,12,13,36.0127,12
S5,dql_mlp,0,10,11,14,35.5808,11
Overall,hc_v6,0.51765,1,1,4,4.6244,1
Overall,ft_quality,0,2,4,5,5.60921,4
Overall,topsis,0.32655,1,2,3,4.77344,2
Overall,shortest_processing,0.1558,1,3,4,5.08426,3
Overall,reserve_specialist,0,6,9,10,17.3739,9
Overall,shortest_queue,0,6,6,8,14.9011,6
Overall,least_fatigued,0,6,6,8,14.9011,6
Overall,round_robin,0,6,8,9,17.0628,8
Overall,least_busy,0,13,14,14,27.209,14
Overall,train_weakest,0,15,15,15,38.5122,15
Overall,random,0,9,10,11,20.7265,10
Overall,optimal_assignment,0,3,5,5,7.33038,5
Overall,a2c_mlp,0,10,11,12,23.7809,11
Overall,grpo_mlp,0,12,13,14,25.187,13
Overall,dql_mlp,0,11,12,13,24.5214,12
