scenario,agent,score_field,rank_field,score_shown,rank_shown
S1,hc_v6,6.14671,11,5.64318,11
S1,ft_quality,10.3158,14,9.85427,14
S1,topsis,4.48012,6,3.96609,6
S1,shortest_processing,5.41097,7,4.90118,7
S1,reserve_specialist,4.33986,4,3.82402,4
S1,shortest_queue,10.1898,12,9.7191,12
S1,least_fatigued,10.1898,12,9.7191,12
S1,round_robin,11.5789,15,11.1112,15
S1,least_busy,2.32969,1,1.84007,1
S1,train_weakest,3.92958,3,3.43229,3
S1,random,6.04379,9,5.52734,9
S1,optimal_assignment,5.79157,8,5.28037,8
S1,a2c_mlp,4.34421,5,3.86125,5
S1,grpo_mlp,2.83786,2,2.34885,2
S1,dql_mlp,6.06564,10,5.5615,10
S2,hc_v6,6.06991,3,5.68801,3
S2,ft_quality,14.5554,10,14.2102,10
S2,topsis,7.50899,4,7.1328,4
S2,shortest_processing,2.92712,1,2.56307,1
S2,reserve_specialist,11.2966,7,10.9373,7
S2,shortest_queue,10.3301,5,9.96553,5
S2,least_fatigued,10.3301,5,9.96553,5
S2,round_robin,15.7026,13,15.3624,13
S2,least_busy,12.6605,9,12.3599,9
S2,train_weakest,32.6541,15,32.4148,15
S2,random,18.0605,14,17.7189,14
S2,optimal_assignment,2.92712,1,2.56307,1
S2,a2c_mlp,14.8669,11,14.5682,11
S2,grpo_mlp,15.3122,12,15.0161,12
S2,dql_mlp,12.6068,8,12.2803,8
S3,hc_v6,3.40219,4,3.36821,4
S3,ft_quality,0.461154,1,0.427095,1
S3,topsis,1.54751,2,1.51417,2
S3,shortest_processing,3.30176,3,3.26778,3
S3,reserve_specialist,10.6085,5,10.5771,5
S3,shortest_queue,31.5035,10,31.4719,10
S3,least_fatigued,31.5035,10,31.4719,10
S3,round_robin,15.1652,7,15.1319,7
S3,least_busy,39.0841,14,39.0525,14
S3,train_weakest,45.5017,15,45.4711,15
S3,random,28.537,8,28.5051,8
S3,optimal_assignment,12.9377,6,12.9042,6
S3,a2c_mlp,33.3416,12,33.3089,12
S3,grpo_mlp,35.3608,13,35.3284,13
S3,dql_mlp,31.3328,9,31.3005,9
S4,hc_v6,3.70275,2,3.54917,2
S4,ft_quality,1.83975,1,1.68646,1
S4,topsis,3.90293,3,3.75745,3
S4,shortest_processing,8.89277,4,8.74544,4
S4,reserve_specialist,27.6248,9,27.507,9
S4,shortest_queue,14.7928,6,14.644,6
S4,least_fatigued,14.7928,6,14.644,6
S4,round_robin,23.4332,8,23.2971,8
S4,least_busy,45.9561,14,45.8278,14
S4,train_weakest,51.3935,15,51.2883,15
S4,random,30.3933,11,30.2585,11
S4,optimal_assignment,10.1068,5,9.96268,5
S4,a2c_mlp,30.1006,10,29.9517,10
S4,grpo_mlp,36.4116,12,36.2786,12
S4,dql_mlp,37.0208,13,36.8939,13
S5,hc_v6,3.80043,2,3.47304,2
S5,ft_quality,0.873875,1,0.546113,1
S5,topsis,6.42763,5,6.11901,5
S5,shortest_processing,4.88866,3,4.5747,3
S5,reserve_specialist,32.9999,10,32.7336,10
S5,shortest_queue,7.68945,6,7.37426,6
S5,least_fatigued,7.68945,6,7.37426,6
S5,round_robin,19.4341,8,19.1442,8
S5,least_busy,36.0149,13,35.7151,12
S5,train_weakest,59.0823,15,58.8382,15
S5,random,20.5978,9,20.3013,9
S5,optimal_assignment,4.88866,3,4.5747,3
S5,a2c_mlp,36.2512,14,35.9664,14
S5,grpo_mlp,36.0127,12,35.7279,13
S5,dql_mlp,35.5808,11,35.3034,11
Overall,hc_v6,4.6244,1,4.34432,1
Overall,ft_quality,5.60921,4,5.34484,4
Overall,topsis,4.77344,2,4.4979,2
Overall,shortest_processing,5.08426,3,4.81043,3
Overall,reserve_specialist,17.3739,9,17.1158,9
Overall,shortest_queue,14.9011,6,14.635,6
Overall,least_fatigued,14.9011,6,14.635,6
Overall,round_robin,17.0628,8,16.8094,8
Overall,least_busy,27.209,14,26.9591,14
Overall,train_weakest,38.5122,15,38.2889,15
Overall,random,20.7265,10,20.4622,10
Overall,optimal_assignment,7.33038,5,7.057,5
Overall,a2c_mlp,23.7809,11,23.5313,11
Overall,grpo_mlp,25.187,13,24.94,13
Overall,dql_mlp,24.5214,12,24.2679,12
