change,scenario,n_rank_changes,max_shift,max_score_change,max_rescale,leader_before,leader_after
displayed_only,S1,0,0,0.51645,0.0210937,least_busy,least_busy
displayed_only,S2,0,0,0.381896,0.0119459,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
displayed_only,S3,0,0,0.0340588,0.00136421,ft_quality,ft_quality
displayed_only,S4,0,0,0.153586,0.00618141,ft_quality,ft_quality
displayed_only,S5,2,1,0.327762,0.0112728,ft_quality,ft_quality
displayed_only,Overall,0,0,0.280077,0.0210937,hc_v6,hc_v6
drop:a2c_mlp,S1,0,0,0,0,least_busy,least_busy
drop:a2c_mlp,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:a2c_mlp,S3,0,0,0,0,ft_quality,ft_quality
drop:a2c_mlp,S4,0,0,0,0,ft_quality,ft_quality
drop:a2c_mlp,S5,0,0,0,0,ft_quality,ft_quality
drop:a2c_mlp,Overall,0,0,0,0,hc_v6,hc_v6
drop:a2c_mlp_last,S1,0,0,0,0,least_busy,least_busy
drop:a2c_mlp_last,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:a2c_mlp_last,S3,0,0,0,0,ft_quality,ft_quality
drop:a2c_mlp_last,S4,0,0,0,0,ft_quality,ft_quality
drop:a2c_mlp_last,S5,0,0,0,0,ft_quality,ft_quality
drop:a2c_mlp_last,Overall,0,0,0,0,hc_v6,hc_v6
drop:dql_mlp,S1,0,0,0,0,least_busy,least_busy
drop:dql_mlp,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:dql_mlp,S3,0,0,0,0,ft_quality,ft_quality
drop:dql_mlp,S4,0,0,0,0,ft_quality,ft_quality
drop:dql_mlp,S5,0,0,0,0,ft_quality,ft_quality
drop:dql_mlp,Overall,0,0,0,0,hc_v6,hc_v6
drop:dql_mlp_last,S1,0,0,0,0,least_busy,least_busy
drop:dql_mlp_last,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:dql_mlp_last,S3,0,0,0,0,ft_quality,ft_quality
drop:dql_mlp_last,S4,0,0,0,0,ft_quality,ft_quality
drop:dql_mlp_last,S5,0,0,0,0,ft_quality,ft_quality
drop:dql_mlp_last,Overall,0,0,0,0,hc_v6,hc_v6
drop:ft_fatigue,S1,0,0,0,0,least_busy,least_busy
drop:ft_fatigue,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_fatigue,S3,0,0,0,0,ft_quality,ft_quality
drop:ft_fatigue,S4,0,0,0,0,ft_quality,ft_quality
drop:ft_fatigue,S5,0,0,0,0,ft_quality,ft_quality
drop:ft_fatigue,Overall,0,0,0,0,hc_v6,hc_v6
drop:ft_fatigue_last,S1,0,0,0,0,least_busy,least_busy
drop:ft_fatigue_last,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_fatigue_last,S3,0,0,0.0340588,0.00136421,ft_quality,ft_quality
drop:ft_fatigue_last,S4,0,0,0,0,ft_quality,ft_quality
drop:ft_fatigue_last,S5,2,1,0.169634,0.00686183,ft_quality,ft_quality
drop:ft_fatigue_last,Overall,0,0,0.0407226,0.00686183,hc_v6,hc_v6
drop:ft_gini,S1,0,0,0,0,least_busy,least_busy
drop:ft_gini,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_gini,S3,0,0,0,0,ft_quality,ft_quality
drop:ft_gini,S4,0,0,0.0431374,0.00173616,ft_quality,ft_quality
drop:ft_gini,S5,0,0,0,0,ft_quality,ft_quality
drop:ft_gini,Overall,0,0,0.00862749,0.00173616,hc_v6,hc_v6
drop:ft_gini_last,S1,0,0,0,0,least_busy,least_busy
drop:ft_gini_last,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_gini_last,S3,0,0,0,0,ft_quality,ft_quality
drop:ft_gini_last,S4,0,0,0,0,ft_quality,ft_quality
drop:ft_gini_last,S5,0,0,0,0,ft_quality,ft_quality
drop:ft_gini_last,Overall,0,0,0,0,hc_v6,hc_v6
drop:ft_protect,S1,0,0,0.51645,0.0210937,least_busy,least_busy
drop:ft_protect,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_protect,S3,0,0,0,0,ft_quality,ft_quality
drop:ft_protect,S4,0,0,0,0,ft_quality,ft_quality
drop:ft_protect,S5,0,0,0,0,ft_quality,ft_quality
drop:ft_protect,Overall,0,0,0.10329,0.0210937,hc_v6,hc_v6
drop:ft_protect_last,S1,0,0,0,0,least_busy,least_busy
drop:ft_protect_last,S2,0,0,0.280605,0.0101464,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_protect_last,S3,0,0,0,0,ft_quality,ft_quality
drop:ft_protect_last,S4,0,0,0,0,ft_quality,ft_quality
drop:ft_protect_last,S5,0,0,0,0,ft_quality,ft_quality
drop:ft_protect_last,Overall,0,0,0.056121,0.0101464,hc_v6,hc_v6
drop:ft_quality,S1,0,0,0,0,least_busy,least_busy
drop:ft_quality,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_quality,S3,0,0,0.234711,0.00951662,topsis,topsis
drop:ft_quality,S4,0,0,0,0,hc_v6,hc_v6
drop:ft_quality,S5,0,0,0,0,hc_v6,hc_v6
drop:ft_quality,Overall,0,0,0.0469423,0.00951662,hc_v6,hc_v6
drop:ft_quality_last,S1,0,0,0,0,least_busy,least_busy
drop:ft_quality_last,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:ft_quality_last,S3,0,0,0,0,ft_quality,ft_quality
drop:ft_quality_last,S4,0,0,0,0,ft_quality,ft_quality
drop:ft_quality_last,S5,0,0,0,0,ft_quality,ft_quality
drop:ft_quality_last,Overall,0,0,0,0,hc_v6,hc_v6
drop:grpo_mlp,S1,0,0,0,0,least_busy,least_busy
drop:grpo_mlp,S2,0,0,0,0,shortest_processing;optimal_assignment,shortest_processing;optimal_assignment
drop:grpo_mlp,S3,0,0,0,0,ft_quality,ft_quality
drop:grpo_mlp,S4,0,0,0,0,ft_quality,ft_quality
drop:grpo_mlp,S5,0,0,0,0,ft_quality,ft_quality
